session_id,target
1,0.00036789706657197043
2,2.7986370452159318e-06
3,1.259154011735654e-06
4,6.428504212099911e-07
5,0.00018871191709550844
6,6.916014616834869e-05
7,0.002824072099513718
8,0.0018288451349047679
9,0.00014382922704314643
10,0.003945449853492475
11,0.00011633705319985296
12,1.6417296422695345e-05
13,8.351695048756083e-05
14,0.022898070984042593
15,0.0008934785190418867
16,0.00037952088197804767
17,0.01665881495936306
18,1.3770171080213034e-05
19,0.0021768892943011984
20,2.019054814086369e-06
21,0.01861828875880831
22,1.0054053700132591e-05
23,0.00023578302786920387
24,0.012175271185764048
25,0.050970343884034534
26,1.00449477557604e-05
27,0.00013507484111974544
28,8.131729861357086e-07
29,0.023355027517187505
30,0.001574002715502113
31,0.02240194472971799
32,0.011989967937263493
33,0.00012366305309286445
34,6.096638799544431e-06
35,0.018362445909482442
36,0.00026722682249380003
37,5.5812866132036265e-08
38,2.6207887731833875e-06
39,0.0004158596548632297
40,1.0991811083829147e-05
41,0.001705700681475064
42,0.0067513552389419145
43,9.394443371352256e-05
44,9.118253463087907e-05
45,0.12274077805558398
46,0.00025399223461036003
47,0.0003484486343915272
48,6.137752645475908e-05
49,0.0002535209601936455
50,7.66199584307206e-06
51,3.357359389662652e-07
52,0.00011649817945961414
53,0.023090571005511734
54,0.00057607146462511
55,0.0004221391037167494
56,0.0261110101695056
57,1.5523227214663508e-06
58,1.6964767227881645e-05
59,2.1126894860284042e-05
60,2.008443431404711e-06
61,8.534563573923086e-06
62,0.00024111838621873705
63,1.461155416269842e-05
64,0.0006313403444413337
65,1.0989602039247944e-05
66,6.18197755942617e-06
67,0.00016026594231444372
68,0.0014821470440270483
69,0.03951519295557697
70,4.693500492711643e-05
71,0.0012467207556186282
72,0.0005348521350472126
73,0.2033935393983342
74,6.995970588433609e-05
75,0.00020833322034028112
76,0.0025168750593740474
77,0.0016820541963252235
78,0.005278251228339444
79,0.00013225644966912404
80,8.546558682162586e-06
81,1.303900956090106e-05
82,0.0016861780914924915
83,1.0004308371064548e-06
84,0.5123796225816521
85,0.00017673380839692797
